Sl No	Question	Answer	Reference
41247	For what did Herodias ask?	Herodias asked for the head of John the Baptist upon a platter. 	Matthew 14:8
41248	Why did Herod give Herodias her request?	Herod gave Herodias her request because of his oath and because of all the people at dinner with him. 	Matthew 14:9-13
41249	What was Jesus' reaction when he saw the large crowd following him?	Jesus had compassion on them and healed their sick. 	Matthew 14:14-15
41250	What did Jesus challenge his disciples to do for the crowd?	Jesus challenged his disciples to give the crowd something to eat. 	Matthew 14:16-18
41251	What did Jesus do with the five loaves and the two fish the disciples brought to him?	Jesus looked up to heaven, blessed and broke the loaves and gave them to the disciples to give to the crowd. 	Matthew 14:19
41252	How many people ate, and how much food was left over?	About five thousand men ate plus women and children, and there were twelve baskets left over. 	Matthew 14:20
41253	How many people ate, and how much food was left over?	About five thousand men ate plus women and children, and there were twelve baskets left over. 	Matthew 14:21-22
41254	What did Jesus do after he sent the crowd away?	Jesus went up on the mountain to pray by himself. 	Matthew 14:23
41255	What was happening with the disciples in the midst of the sea?	The disciples' boat was almost uncontrollable because of the wind and waves. 	Matthew 14:24
41256	How did Jesus go to the disciples?	Jesus went to the disciples by walking on the water. 	Matthew 14:25-26
41257	What did Jesus tell the disciples when they saw him?	Jesus told his disciples to be brave and to not be afraid. 	Matthew 14:27-28
41258	What did Jesus tell Peter to come and do?	Jesus told Peter to come and walk on the water. 	Matthew 14:29
41259	Why did Peter begin to sink into the water?	Peter began to sink into the water when he became afraid. 	Matthew 14:30-31
41260	What happened when Jesus and Peter went into the boat?	When Peter and Jesus went into the boat, the wind ceased blowing. 	Matthew 14:32
41261	What did the disciples do when they saw this?	When the disciples saw this, they worshiped Jesus and said that he was the Son of God. 	Matthew 14:33-34
41262	What did the people do when Jesus and the disciples got to the other side of the sea?	When Jesus and the disciples got to the other side of the sea, the people brought to Jesus all who were sick. 	Matthew 14:35-36
41263	What example did Jesus give of how did the Pharisees made void the word of God by their traditions?	The Pharisees prevented children from helping their parents by taking the money as a "gift given to God". 	Matthew 15:4
41264	What example did Jesus give of how did the Pharisees made void the word of God by their traditions?	The Pharisees prevented children from helping their parents by taking the money as a "gift given to God". 	Matthew 15:5
41265	What example did Jesus give of how did the Pharisees made void the word of God by their traditions?	The Pharisees prevented children from helping their parents by taking the money as a "gift given to God". 	Matthew 15:6
41266	What did Isaiah prophecy about the Pharisees' lips and hearts?	Isaiah prophesied that the Pharisees would honor God with their lips, but their heart would be far from God. 	Matthew 15:7
41267	What did Isaiah prophecy about the Pharisees' lips and hearts?	Isaiah prophesied that the Pharisees would honor God with their lips, but their heart would be far from God. 	Matthew 15:8
41268	Instead of teaching the word of God, what were the Pharisees teaching as doctrine?	The Pharisees were teaching as doctrines the commands of people. 	Matthew 15:9-10
41269	What did Jesus say does not defile a person?	Jesus said that what a person eats does not defile a person. 	Matthew 15:11-13
41270	What did Jesus call the Pharisees, and what did he say would happen to them?	Jesus called the Pharisees blind guides, and said that they would fall into a pit. 	Matthew 15:14-18
41271	What kinds of things proceed from the heart which defile a person?	From the heart proceeds evil thoughts, murder, adultery, sexual immorality, theft, false witness, and insults. 	Matthew 15:19-22
41272	What did Jesus do at first when the Canaanite woman shouted out to him for mercy?	Jesus answered her not a word. 	Matthew 15:23
41273	What was Jesus' explanation of why he was not helping the Canaanite woman?	Jesus explained that he had been sent only to the lost sheep of the house of Israel. 	Matthew 15:24-27
41274	When the Canaanite woman humbled herself, what did Jesus say to her and do for her?	Jesus said that the woman had great faith, and he granted her her wish. 	Matthew 15:28-29
41275	What did Jesus do for the large crowds that came to him in Galilee?	Jesus healed the mute, the crippled, the lame, and the blind. 	Matthew 15:30
41276	What did Jesus do for the large crowds that came to him in Galilee?	Jesus healed the mute, the crippled, the lame, and the blind. 	Matthew 15:31-33
41277	How many loaves and fish did the disciples have to feed the crowd?	The disciples had seven loaves, and a few small fish. 	Matthew 15:34-35
41278	What did Jesus do with the loaves and fish?	Jesus took the loaves and the fish, gave thanks, broke the loaves and gave them to his disciples. 	Matthew 15:36
41279	How much food was left over after everyone ate?	There were seven baskets full remaining after everyone ate. 	Matthew 15:37
41280	How many people ate and were satisfied from the loaves and fish?	Four thousand men, plus women and children, ate and were satisfied. 	Matthew 15:38-39
41281	What did the Pharisees and Sadducees want to see from Jesus as a test?	The Pharisees and Sadducees wanted to see a sign from heaven from Jesus. 	Matthew 16:1-3
41282	What did Jesus say he would give the Pharisees and Sadducees?	Jesus said he would give the Pharisees and Sadducees the sign of Jonah. 	Matthew 16:4-5
41283	Of what did Jesus tell his disciples to beware?	Jesus told his disciples to beware the yeast of the Pharisees and Sadducees. 	Matthew 16:6-11
41284	About what was Jesus actually talking when he told his disciples to beware?	Jesus was telling his disciples to beware the teaching of the Pharisees and Sadducees. 	Matthew 16:12
41285	What question did Jesus ask his disciples when they came to Caesarea Philippi?	Jesus asked his disciples, "Who do people say that the Son of Man is"? 	Matthew 16:13
41286	Who did some people think that Jesus was?	Some people thought that Jesus was John the Baptist, or Elijah, or Jeremiah, or one of the prophets. 	Matthew 16:14-15
41287	What answer did Peter give to Jesus' question?	Peter answered, "You are the Christ, the Son of the Living God". 	Matthew 16:16
41288	How did Peter know the answer to Jesus' question?	Peter knew the answer to Jesus' question because the Father had revealed it to him. 	Matthew 16:17-18
41289	What authority did Jesus give to Peter on earth?	Jesus gave to Peter the keys of the kingdom, so that he could bind and loose on earth and it would be bound or loosed in heaven. 	Matthew 16:19-20
41290	At this time, what did Jesus begin to tell his disciples plainly?	Jesus began to tell his disciples that he must go to Jerusalem, suffer many things, be killed, and be raised on the third day. 	Matthew 16:21-22
41291	What did Jesus tell Peter when Peter objected to what Jesus was describing would happen to him?	Jesus said to Peter, "Get behind me, Satan"! 	Matthew 16:23
